;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;10022;0;9;33;21;20;3;11;28;16;6;16;10;3;77;91;289;83;52;0;7;13;0;.;136;51;14;.;.;9;27;22;7;30;5;9;20;18;6;3;0;.;.;15;0;10;6;.;24;26;4;16;.;0;22;.;0;4;26;26;5;26;.;5;0
23;10023;5;5;13;7;6;.;4;48;35;6;8;7;.;23;42;19;190;58;4;12;37;0;.;30;20;4;.;10;3;13;3;0;5;.;5;7;3;.;.;0;0;.;7;0;5;10;0;9;13;7;4;4;0;14;.;0;.;9;13;6;11;0;.;0
24;10024;.;6;20;17;11;4;4;54;52;8;38;12;0;30;70;26;76;476;40;14;51;3;17;47;21;11;3;4;.;16;18;.;12;4;3;12;9;7;.;.;14;23;20;0;21;10;.;7;23;9;5;.;0;24;16;.;5;17;8;5;21;.;.;0
25;10025;0;.;7;3;.;0;3;7;.;.;.;6;.;.;.;.;5;29;40;0;19;0;.;3;5;.;0;0;3;.;.;0;0;0;0;0;0;.;0;0;.;0;0;0;3;3;.;.;0;0;0;0;0;.;.;0;0;.;3;.;.;.;0;0
26;10026;0;3;5;.;0;4;5;9;.;0;.;3;0;0;.;10;11;6;3;75;23;10;4;15;16;11;0;4;8;.;3;.;3;0;.;.;0;.;.;0;0;0;.;0;0;.;.;3;.;0;0;0;0;0;0;0;0;.;.;.;.;0;0;0
27;10027;0;3;13;6;4;0;.;8;12;.;5;4;0;9;12;8;23;50;22;26;185;11;16;17;16;.;.;3;9;3;4;0;.;.;.;3;3;.;3;0;0;0;6;0;.;3;0;.;0;.;6;.;0;.;0;0;3;4;6;.;4;.;3;0
28;10028;0;0;0;0;0;0;.;5;.;0;0;0;0;0;0;.;8;7;0;5;13;.;3;5;7;0;0;.;0;.;0;0;0;0;0;0;.;0;0;0;0;0;0;0;0;0;0;0;3;.;0;0;.;0;0;0;0;0;.;0;.;0;0;0
29;10029;0;0;.;.;0;0;.;.;3;0;0;0;0;.;.;4;6;6;4;7;18;0;23;5;.;0;.;0;.;0;0;0;0;3;.;.;0;0;0;0;0;0;0;0;0;.;0;0;0;0;0;.;0;0;0;0;.;0;.;0;0;0;0;0
30;10030;9;33;121;85;43;122;43;87;49;24;33;7;.;140;131;199;32;78;5;25;12;.;3;609;188;21;3;4;31;126;65;12;22;18;32;42;45;19;.;0;7;6;32;.;15;5;.;40;70;15;27;7;0;26;11;.;6;38;19;9;59;0;4;0
31;10031;.;14;25;22;20;11;17;34;14;3;9;7;0;23;30;45;19;24;5;29;21;8;3;144;447;44;13;14;44;55;20;10;23;20;8;12;14;5;.;0;3;4;11;.;6;4;.;13;16;.;11;12;0;13;4;.;6;23;12;9;36;.;8;0
32;10032;0;10;4;4;5;3;6;.;.;0;.;.;0;7;9;5;11;9;0;0;3;.;3;14;24;69;13;20;14;8;8;0;6;4;3;4;3;3;0;0;.;5;.;0;6;.;0;3;6;0;3;0;0;4;.;0;0;4;.;3;4;0;0;0
33;10033;0;.;5;3;.;.;5;3;.;.;.;0;0;.;8;4;6;8;0;.;.;0;0;7;9;25;49;8;6;5;6;.;5;3;0;5;.;0;0;0;0;.;3;0;3;.;0;.;5;0;.;.;.;4;.;0;0;7;4;.;.;0;0;0
34;10034;.;.;.;.;0;0;.;.;3;0;.;3;0;.;3;.;0;7;0;8;5;0;0;5;17;21;17;152;19;3;.;0;.;4;0;0;.;0;.;0;0;0;.;0;4;0;0;0;.;.;.;0;0;.;.;0;.;0;0;0;0;0;0;0
35;10035;4;.;5;5;.;6;.;.;.;.;0;.;.;.;3;5;3;5;3;6;6;.;.;5;28;23;4;22;109;8;5;3;5;3;0;4;.;0;0;0;0;0;.;.;0;0;0;.;.;.;.;0;0;.;0;0;.;.;3;.;3;.;0;0
40;10040;10;32;94;249;48;53;33;21;12;4;.;9;.;67;75;28;11;12;0;14;4;4;0;124;90;25;12;9;24;871;344;27;56;24;92;116;31;11;13;.;7;5;10;19;15;.;3;77;81;9;14;10;4;19;3;0;3;34;24;8;16;0;5;0
41;10041;.;14;43;49;15;15;15;29;3;5;3;.;0;35;34;28;12;4;0;13;9;6;0;99;58;21;13;16;7;267;689;41;67;35;44;61;15;10;19;0;6;5;11;.;8;4;0;58;38;9;9;5;0;11;8;3;.;29;16;10;15;.;3;0
42;10042;.;3;20;8;6;0;5;4;5;.;.;4;0;6;9;9;3;3;0;0;4;0;0;17;23;9;8;5;.;26;17;63;47;18;5;5;0;.;0;0;0;4;0;0;3;0;0;.;10;0;.;.;.;.;.;.;.;5;12;.;.;0;.;0
43;10043;8;8;67;13;7;0;7;9;7;3;.;.;0;10;15;13;11;8;0;.;.;5;.;27;20;20;8;5;0;26;52;53;285;40;5;8;9;4;0;.;.;6;18;.;8;4;0;10;11;10;.;0;.;9;4;.;.;11;5;6;9;0;.;0
44;10044;4;.;16;.;3;0;6;7;0;0;.;3;0;4;32;4;9;9;.;.;4;4;.;9;24;3;5;7;0;41;18;17;31;108;4;9;3;.;.;3;.;4;7;0;20;.;0;.;7;.;8;0;.;0;0;0;0;.;6;0;12;.;.;14
50;10050;0;8;20;46;29;26;20;4;4;4;0;.;.;20;18;12;.;6;0;3;0;0;0;18;22;3;6;.;4;61;48;3;.;12;289;158;84;22;18;9;3;10;4;11;10;.;.;80;79;14;19;6;0;7;.;.;.;25;16;.;18;0;5;0
51;10051;8;13;30;36;49;16;21;15;3;.;3;.;0;31;26;16;10;7;.;11;9;0;0;32;17;5;.;4;0;59;37;0;11;4;125;338;158;34;18;0;9;12;16;6;15;23;7;145;134;66;30;25;4;14;5;9;.;30;34;5;17;.;10;0
52;10052;.;7;7;9;9;7;8;16;5;3;5;.;.;7;15;12;7;15;0;6;6;0;0;12;11;11;.;0;6;19;14;4;9;3;25;98;312;96;20;10;9;50;33;15;35;12;0;19;30;30;25;5;.;10;4;.;3;16;6;9;11;.;3;0
53;10053;4;.;.;3;5;8;5;5;5;0;0;5;.;6;6;4;3;9;.;0;.;0;0;5;5;.;.;0;3;10;6;.;6;.;9;22;47;209;39;4;7;14;28;10;26;11;0;10;7;20;7;4;0;6;4;0;0;6;5;.;9;0;0;0
54;10054;0;0;3;3;0;.;0;.;0;0;0;.;0;.;.;.;0;.;0;0;0;0;0;3;0;.;0;0;0;8;.;0;.;.;4;31;24;45;69;11;.;.;7;.;6;0;0;8;4;3;.;3;.;3;3;0;.;6;0;0;3;0;.;0
55;10055;0;0;0;0;0;0;.;0;0;0;0;0;0;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;.;.;.;.;3;11;7;0;0;0;0;.;.;0;.;.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;10060;.;0;3;0;0;0;.;.;.;.;5;0;0;.;4;.;.;5;0;0;0;0;0;10;.;3;.;0;.;3;0;0;.;.;4;4;.;4;0;0;57;37;24;0;24;17;0;4;13;12;5;6;0;3;.;.;0;.;.;0;4;.;0;0
61;10061;3;0;41;4;8;.;4;.;7;0;6;6;0;8;11;.;0;7;.;0;0;0;.;7;5;3;0;.;0;5;.;3;9;0;.;10;8;7;0;0;26;115;49;8;17;28;0;6;8;20;9;13;.;15;4;.;0;5;6;7;6;0;0;0
62;10062;3;.;52;10;9;3;15;9;7;6;7;4;0;15;14;12;11;9;0;4;3;0;.;18;13;5;3;0;.;12;9;6;8;.;3;17;34;14;12;3;50;91;342;33;87;46;5;9;34;38;8;13;5;9;4;0;6;12;6;5;10;0;.;0
63;10063;0;.;.;.;.;.;.;3;0;0;.;.;0;0;.;0;.;0;0;0;.;0;0;3;.;0;0;0;0;4;3;.;0;.;.;3;10;5;0;0;4;4;4;14;12;7;3;3;.;.;3;.;0;.;.;0;0;.;.;0;.;0;0;0
64;10064;0;3;21;8;10;6;.;13;12;4;18;6;0;10;18;6;3;20;.;.;0;0;.;19;7;4;0;0;6;9;17;.;8;.;5;20;25;11;.;.;36;31;110;27;414;100;10;9;20;28;11;19;7;9;5;0;.;8;8;3;9;0;4;0
65;10065;.;.;16;6;5;3;5;5;3;4;8;.;0;8;14;6;.;10;4;0;.;0;0;17;4;4;0;0;0;12;7;5;7;.;3;7;21;9;.;.;22;41;43;.;82;213;10;15;16;20;10;12;10;5;3;0;5;6;4;5;8;0;.;0
66;10066;0;.;.;.;.;0;0;0;0;0;3;0;0;0;.;0;.;.;0;3;0;0;0;.;0;0;.;0;0;0;0;.;.;0;0;.;0;3;0;0;4;3;.;.;13;17;25;3;6;5;0;.;.;0;0;0;.;0;5;0;.;0;0;0
70;10070;.;4;15;11;11;8;10;20;.;3;6;0;0;22;18;13;5;9;0;0;0;0;.;26;13;.;.;.;0;30;25;.;.;3;29;77;58;10;5;0;12;12;19;3;30;11;.;148;165;44;29;10;8;16;8;4;4;10;9;.;13;.;.;0
71;10071;4;6;30;23;40;14;20;31;12;16;11;.;0;38;52;22;5;26;.;3;11;.;.;42;20;8;4;4;5;47;30;4;6;14;42;104;55;23;3;.;22;38;72;3;45;31;4;141;508;86;144;41;15;33;16;.;.;31;25;12;29;.;5;0
72;10072;.;0;6;.;4;3;3;10;.;0;4;.;0;4;7;.;3;19;0;0;.;.;.;8;9;.;.;.;0;11;4;0;9;3;4;15;19;10;3;7;34;17;19;.;26;22;0;21;32;188;27;11;5;11;4;3;.;5;8;4;12;0;0;0
73;10073;.;5;10;6;12;15;7;26;.;7;17;0;0;13;6;7;8;12;0;3;4;.;0;29;5;7;3;.;0;21;6;.;4;.;8;33;16;8;5;0;13;4;30;3;30;22;4;21;154;38;186;62;14;22;13;.;6;19;4;8;16;3;5;0
74;10074;3;4;7;5;6;10;6;9;.;5;4;4;0;.;14;5;4;3;.;4;.;.;.;18;.;3;.;0;3;8;3;.;3;.;0;4;15;9;.;0;.;5;21;0;8;21;.;7;29;11;49;337;27;21;8;3;9;15;5;4;6;0;5;0
75;10075;4;3;.;.;3;.;3;3;0;0;.;0;0;.;.;0;0;.;0;.;0;0;0;0;.;0;0;0;0;5;.;0;0;.;.;8;.;.;.;3;.;.;4;0;10;3;.;5;7;6;7;32;39;0;4;0;.;.;6;.;3;0;3;0
80;10080;.;5;19;13;14;12;19;22;11;16;29;4;5;22;30;24;4;26;.;.;4;.;0;25;9;8;.;0;0;18;17;0;3;3;5;21;6;.;.;.;.;6;8;.;9;5;0;7;18;14;23;22;3;383;71;9;16;72;60;54;44;3;15;0
81;10081;3;.;4;3;3;.;6;6;4;.;5;3;0;6;6;4;7;12;.;.;3;0;0;10;6;5;0;0;7;8;3;0;0;.;0;11;3;5;0;0;3;4;7;.;9;4;.;.;5;4;8;8;0;72;111;12;42;18;12;11;20;0;12;0
82;10082;0;.;3;0;3;.;0;.;0;0;.;3;0;0;.;.;0;0;.;0;0;0;0;8;0;.;0;0;0;.;.;0;.;0;0;0;0;0;0;0;4;3;7;0;.;.;0;.;.;0;3;.;0;10;15;77;5;5;.;4;5;0;.;0
83;10083;3;4;.;0;.;.;7;5;.;.;7;.;0;.;.;.;.;0;.;.;3;0;0;3;3;0;0;0;0;.;0;0;.;0;0;4;3;.;.;.;0;.;.;.;3;4;.;.;5;0;3;7;.;26;45;8;160;15;13;26;10;9;19;0
90;10090;5;16;35;34;54;49;96;28;11;17;22;10;4;28;34;21;23;8;0;12;6;0;.;35;29;7;10;.;7;44;27;5;9;5;20;33;20;15;6;0;0;3;10;3;15;7;.;35;45;3;31;5;.;116;32;4;27;376;210;82;142;3;18;.
91;10091;3;17;19;26;19;32;44;32;7;7;32;7;.;13;15;19;7;4;4;3;15;3;5;35;14;10;3;8;5;47;12;4;3;.;14;31;17;4;.;0;6;.;9;9;12;.;0;13;28;14;24;15;4;93;25;7;15;158;336;121;183;.;51;0
92;10092;.;3;11;10;8;4;14;5;8;8;20;9;3;10;3;11;.;6;.;0;4;0;.;14;8;0;6;5;.;3;.;0;.;.;3;3;.;.;0;0;0;0;22;0;5;3;0;4;7;5;5;.;0;54;10;5;11;34;64;137;43;4;19;0
93;10093;.;27;11;13;9;18;30;49;21;24;75;21;6;20;21;20;10;48;.;5;14;9;.;40;23;15;.;3;4;21;10;3;6;.;10;9;7;7;3;0;11;7;17;0;6;7;.;8;23;10;9;6;0;48;36;.;27;49;77;43;412;15;17;.
94;10094;5;.;83;0;0;5;.;.;4;3;5;12;9;.;6;.;19;10;0;4;.;0;0;3;.;0;0;0;.;3;5;0;.;.;0;.;.;0;0;0;0;0;0;0;3;.;0;0;.;.;0;0;0;4;.;0;4;0;.;5;13;44;12;0
95;10095;0;5;11;4;8;.;9;6;0;3;6;3;.;4;7;.;.;.;0;4;5;0;0;4;8;0;.;.;0;4;.;.;0;0;.;13;.;3;0;0;0;.;5;0;0;0;0;3;6;.;.;7;0;14;14;0;11;19;22;16;42;5;96;0
nzg;999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.;0;0;0;0;0;0;0
Sum;;243;507;1825;1388;1145;991;973;1651;811;451;880;443;109;1543;1792;1291;962;1410;189;367;643;85;106;2554;1631;505;230;352;386;2682;1858;326;834;390;1020;1715;1229;670;292;71;430;616;1158;192;1170;734;97;1195;2052;827;920;773;182;1351;574;185;459;1546;1377;729;1657;148;400;16
